"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","school_type","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_mobile_child","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_c1_authorised_regulated_performance","reason_j1_authorised_interview","reason_c2_authorised_temp_reduced_timetable","reason_b_aea_education_off_site","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_k_aea_education_arranged_by_la","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_mob_perc","auth_excluded_perc","auth_performance_perc","auth_interview_perc","auth_part_time_perc","auth_other_perc","pa_perc"
"202425","202425","Summer term","Local authority","E92000001","England","E12000008","South East","E10000016","Kent","886","Primary",453.551724137931,"108282.431034483","11502377","11745082","242705","674091","418530","255561","143882","12419173","5660746","5722152","11382898","119479","293098","37319","5900","2","2032","0","5109","46383","542","2060","26085","37988","0","15771","187541","6","1399","101554","24403","122466","7138",459,"127934","94.5721748138946","5.42782518610539","3.37003116069001","2.05779402541538","2.36004442485824","0.300495049066472","0.817719505155456","0.986104308233729","0.19649456529835","0.0574756467278457","0.0475071890857789","1.61041318934844e-05","0.0163617980037801","0.0411380049219058","0.00436421974313426","0.0165872558502889","0.21003814022077","0.373478974807743","18.8066246792629"
"202425","202425","Summer term","Local authority","E92000001","England","E12000008","South East","E06000035","Medway","887","Primary",75.1206896551724,"21884","2339996","2379213","39217","144229","90073","54156","24921","2523442","1153168","1165755","2318923","21073","62321","7302","1892","0","324","0","1148","11135","23","579","5349","5958","0","5076","27820","0","363","19495","3848","29401","1412",76,"26660","94.2844337218767","5.71556627812329","3.56944998141427","2.14611629670902","2.4696822831672","0.289366666640248","0.772555897856975","1.16511495013557","0.152490130543916","0.0559553181725595","0.0749769560782455","0","0.012839605586338","0.0454934173244323","0.000911453482980786","0.0229448507237337","0.211972377411488","0.441262370999611","19.4765840220386"
"202425","202425","Summer term","Local authority","E92000001","England","E12000007","London","E09000027","Richmond upon Thames","318","Primary",44.1379310344828,"13097.3275862069","1399196","1434362","35166","61366","40015","21351","16863","1495728","688904","694774","1383678","15518","26228","4091","1473","62","4","0","84","4922","45","2143","963","2910","0","5029","26811","0","416","7537","1345","11427","1042",45,"16011","95.8972486976242","4.10275130237583","2.67528588085534","1.42746542152049","1.75352737930961","0.273512296353348","0.503901778933068","0.763975803087192","0.089922766706246","0.0696650727939839","0.0984804723853535","0.00414513868831766","0.000267428302472107","0.00561599435191425","0.00300856840281121","0.143274713049431","0.0643833638201598","0.329070526191928","12.6036608143444"
"202425","202425","Summer term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E06000011","East Riding of Yorkshire","811","Primary",119.586206896552,"19602.3620689655","2104062","2150005","45943","114657","71669","42988","17737","2264662","1043364","1046208","2089572","14490","48868","7204","351","0","657","0","980","9844","26","569","3170","12315","0","1799","30767","1","1061","22238","3247","15765","1738",123,"23424","94.9371252752066","5.06287472479337","3.16466651535638","1.89820820943699","2.15784960404687","0.318104865096867","0.981956689342604","0.696130371772918","0.143376804132361","0.0767443441891108","0.0154990016170183","0","0.0290109517446754","0.0432735657683133","0.00114807419385321","0.0251251621654799","0.139976738250565","0.434678552472731","17.9939269272211"
"202425","202425","Summer term","Local authority","E92000001","England","E12000007","London","E09000013","Hammersmith and Fulham","205","Primary",35.6206896551724,"7291.58620689655","754774","767279","12505","46062","32230","13832","17067","813341","363663","375228","738891","15883","19962","2977","3516","2","1","0","185","4194","75","795","523","1196","0","1717","9484","0","108","3831","1184","7268","1549",36,"8924","94.3366927278964","5.66330727210358","3.96266756501885","1.70063970708473","2.45432112730085","0.366021139964664","0.471020150219896","0.893598134115949","0.145572398292967","0.190449024455917","0.432291007092966","0.000245899321440822","0.000122949660720411","0.0227456872332761","0.00922122455403084","0.0977449802727269","0.0643026725567751","0.515650877061405","19.7825775997711"
"202425","202425","Summer term","Local authority","E92000001","England","E12000008","South East","E10000030","Surrey","936","Primary",294.637931034483,"73768.8275862069","7873411","8057194","183783","400797","284793","116004","89989","8457991","3881665","3914943","7796608","76803","191306","22917","6230","9","3793","7","2832","30809","265","11107","15518","19329","0","17635","145509","0","1310","48432","13186","50855","3531",299,"89289","95.2613215124017","4.7386784875983","3.36714711566848","1.37153137192981","2.26183735593949","0.270950867646939","0.572618249416439","0.601265714281323","0.155899905781408","0.0417475024506411","0.0736581535733486","0.000106408247537743","0.0448451647678509","0.033483128558543","0.00313313173305576","0.13131960060019","0.183471465032299","0.364259077598924","14.7003461847284"
"202425","202425","Summer term","Local authority","E92000001","England","E12000004","East Midlands","E06000015","Derby","831","Primary",72.6379310344828,"19570.9827586207","2092923","2136330","43407","122837","70502","52335","31003","2259167","1023418","1042893","2066311","26612","46956","5773","6788","3","0","0","868","5946","17","555","3596","16006","0","2114","25269","1","17","19048","4391","27719","1177",74,"24697","94.5627304223194","5.43726957768062","3.12070776529579","2.31656181238483","2.07846520421022","0.25553666462019","0.84314262734893","1.22695666145973","0.194363674752685","0.0520988488234823","0.300464728813762","0.000132792307961297","0","0.0384212411034687","0.000752489745114018","0.02456657697284","0.159173713142942","0.263194354379291","19.0272660280029"
"202425","202425","Summer term","Local authority","E92000001","England","E12000004","East Midlands","E10000019","Lincolnshire","925","Primary",274.827586206897,"46280.1379310345","4942576","5036932","94356","267396","178556","88840","47074","5304328","2445657","2457239","4902896","39680","126030","14714","1556","4","1974","0","3116","21594","153","337","9078","17770","1","7600","68769","3","213","46017","7394","33135","2294",280,"55207","94.9589090267419","5.04109097325806","3.366232254114","1.67485871914407","2.37598429056423","0.277396118792051","0.867536849154125","0.624678564372339","0.139395602986844","0.0432477026307574","0.0293345358733472","7.54101179263424e-05","0.03721489319665","0.0587444818646207","0.0028844370106826","0.00635330243529435","0.171143262633834","0.407101521625359","17.1323163654452"
"202425","202425","Summer term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E06000012","North East Lincolnshire","812","Primary",44.9137931034483,"10666.3965517241","1145381","1170781","25400","64278","34836","29442","12885","1235059","565198","569127","1134325","11056","25920","3130","263","0","1","0","565","3303","20","195","1439","5835","0","1668","17768","0","129","13161","1829","14117","335",47,"13806","94.7955522772596","5.20444772274037","2.82059399591437","2.38385372682601","2.0986851640286","0.253429188403145","1.06561710817054","1.14302231715246","0.148090091242605","0.0271242102604005","0.02129452924921","0","8.09677918220911e-05","0.0457468023794815","0.00161935583644182","0.0157887194053078","0.116512652431989","0.267436616388367","19.8293515358362"
"202425","202425","Summer term","Local authority","E92000001","England","E12000002","North West","E08000011","Knowsley","340","Primary",49.3275862068966,"12069.0689655172","1143782","1160003","16221","84957","36868","48089","29026","1244960","546342","570745","1117087","26695","27387","2859","167","0","0","0","366","4934","15","33","1107","5028","0","693","10264","3","233","17043","2331","25776","2939",50,"14383","93.1759253309343","6.82407466906567","2.96138028531037","3.8626943837553","2.19982971340445","0.229645932399435","1.36895964528981","2.07042796555713","0.187234931242771","0.236071841665596","0.0134140855931114","0","0","0.0293985348926873","0.00120485798740522","0.00265068757229148","0.0889185194705051","0.39631795399049","24.6663009690986"
"202425","202425","Summer term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E06000013","North Lincolnshire","813","Primary",59.7068965517241,"10725.1206896552","1145819","1165815","19996","66033","36939","29094","12363","1231848","565658","569531","1135189","10630","27119","3147","1091","68","386","0","456","3022","33","449","1168","4995","0","1794","12972","0","235","12972","1733","13294","1095",62,"12854","94.6395172131627","5.36048278683734","2.99866541975958","2.36181736707776","2.20148914476461","0.255469830693397","1.05305199992207","1.07919158857262","0.140682941401861","0.0888908371812107","0.0885661217942473","0.00552016157837655","0.031335034841961","0.0370175541138192","0.00267890194244744","0.0364493021866334","0.0948168929932914","0.245322474850793","17.8434113946173"
"202425","202425","Summer term","Local authority","E92000001","England","E12000004","East Midlands","E10000024","Nottinghamshire","891","Primary",276.68253968254,"55619.1111111111","6478589","6619315","140726","338125","204519","133606","63609","6957440","3202760","3221837","6424597","53992","144877","18072","3325","0","1900","0","1919","22323","141","1875","10087","37531","0","7659","95059","2","475","71325","9617","47873","4791",285,"67337","95.1400946325085","4.85990536749149","2.93957260141661","1.92033276607488","2.08233200717505","0.259750712905896","1.02516155367491","0.688083547971668","0.138226129150952","0.0688615352773434","0.0477905666452028","0","0.0273088952258302","0.0275819841780885","0.00202660748781161","0.0269495676570693","0.144981487443657","0.320850772698004","17.4360221685575"
"202425","202425","Summer term","Local authority","E92000001","England","E12000008","South East","E06000037","West Berkshire","869","Primary",66.8793103448276,"12072.6379310345","1129370","1155459","26089","56938","41786","15152","11976","1212397","558527","560539","1119066","10304","28711","3353","654","10","86","0","538","5476","27","124","2807","2944","0","2857","20139","0","149","7516","1672","5025","939",67,"12894","95.303683529405","4.69631647059503","3.44656082124914","1.24975564934588","2.36811869379419","0.27655957578252","0.6199289506655","0.414468198123222","0.137908622340702","0.0774498782164588","0.0539427266811119","0.000824812334573576","0.00709338607733276","0.0443749036000584","0.00222699330334866","0.0102276729487123","0.231524822314803","0.45166723441249","16.231188255932"
"202425","202425","Summer term","Local authority","E92000001","England","E12000008","South East","E10000011","East Sussex","845","Primary",143.775862068966,"30076.9655172414","3197328","3272980","75652","197229","124291","72938","41083","3470209","1574388","1588628","3163016","34312","85740","9637","1263","0","390","0","1678","13508","166","1126","10783","22196","0","5569","47499","1","387","31697","6771","32192","2278",143,"35023","94.3165094667209","5.68349053327912","3.58165747365649","2.10183305962263","2.47074455746037","0.27770661651791","0.913403198481705","0.927667469019878","0.195117930937301","0.06564446118375","0.0363955024034575","0","0.0112385161815902","0.0483544362889958","0.00478357355421532","0.032447613385822","0.31073056406689","0.389256093797232","19.9076783044015"
"202425","202425","Summer term","Local authority","E92000001","England","E12000007","London","E09000023","Lewisham","209","Primary",62.9137931034483,"17461.1379310345","1874174","1915224","41050","102444","62890","39554","40863","2017668","903856","934733","1838589","35585","39510","5769","3515","225","18","0","229","10575","51","2194","804","3381","0","3869","33445","0","355","7829","5278","24681","1766",64,"22075","94.9226532809164","5.07734671908362","3.11696473354387","1.96038198553974","1.95820125015612","0.285924146093411","0.388022211781126","1.223243863708","0.261589121698912","0.0875267883517011","0.174211019850639","0.0111514877571533","0.000892119020572265","0.0113497364283916","0.00252767055828808","0.108739396174197","0.0398479829188945","0.524119924586205","16.2305915220545"
"202425","202425","Summer term","Local authority","E92000001","England","E12000006","East of England","E06000056","Central Bedfordshire","823","Primary",93,"17965.6724137931","1880494","1920912","40418","99456","65658","33798","14293","2020368","935845","934320","1870165","10329","45660","5353","1200","0","967","0","808","7341","54","1018","3257","5563","0","1949","32168","0","738","15191","3964","13879","764",96,"24198","95.0773324463662","4.92266755363379","3.24980399610368","1.67286355753011","2.25998431968829","0.264951731565735","0.751892724493756","0.686954059854442","0.196201880053535","0.0378148931283806","0.0593951200969328","0","0.047862567611445","0.0399927141986014","0.00267278040436198","0.0503868602155647","0.161208255129759","0.363349647192987","17.2235347058162"
"202425","202425","Summer term","Local authority","E92000001","England","E12000007","London","E09000002","Barking and Dagenham","301","Primary",42.4137931034483,"18713.1896551724","2008683","2035163","26480","120366","78211","42155","37490","2155529","975338","998686","1974024","34659","52195","5037","11608","2","42","0","245","5696","155","2745","486","3539","0","1623","21200","0","118","12920","2831","24997","1407",44,"24056","94.4159415159805","5.58405848401947","3.62839006109405","1.95566842292542","2.4214473570061","0.233678136550239","0.599388827522154","1.15966892581821","0.131336669560001","0.0652740000250518","0.538522098287706","9.27846482232436e-05","0.00194847761268811","0.0113661194073473","0.00719081023730138","0.127346929686402","0.0225466695182482","0.264250678139798","19.452112975154"
