geographic_level,region_code,region_name,new_la_code,la_name,old_la_code,school_type,num_schools,autumn_enrolments,pa_flag
Local authority,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,PRU/Academy/Free school AP,3,166,128
Local authority,E12000007,London,E09000026,Redbridge,317,Secondary,12,14993,2399
Local authority,E12000008,South East,E10000011,East Sussex,845,Secondary,23,24990,7325
Local authority,E12000003,Yorkshire and The Humber,E08000018,Rotherham,372,Secondary,13,14420,3968
Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,381,Secondary,12,13120,3395
Local authority,E12000009,South West,E06000023,"Bristol, City of",801,PRU/Academy/Free school AP,4,458,393
Local authority,E12000007,London,E09000029,Sutton,319,Secondary,11,12846,2517
Local authority,E12000002,North West,E08000011,Knowsley,340,Secondary,6,6009,2047
Local authority,E12000003,Yorkshire and The Humber,E08000018,Rotherham,372,Special,6,855,299
Local authority,E12000002,North West,E08000011,Knowsley,340,Primary,42,9957,2181
Local authority,E12000001,North East,E08000023,South Tyneside,393,Primary,41,9458,1976
Local authority,E12000002,North West,E06000007,Warrington,877,Special,3,364,131
Local authority,E12000001,North East,E06000003,Redcar and Cleveland,807,Secondary,10,8424,2218
Local authority,E12000005,West Midlands,E08000031,Wolverhampton,336,Secondary,20,18256,4310
Local authority,E12000002,North West,E08000004,Oldham,353,Special,6,1186,522
Local authority,E12000007,London,E09000031,Waltham Forest,320,Special,4,643,270
Local authority,E12000009,South West,E06000026,Plymouth,879,Secondary,17,13721,3971
Local authority,E12000002,North West,E08000014,Sefton,343,Secondary,18,15893,4419
Local authority,E12000009,South West,E10000008,Devon,878,Special,9,1232,383
Local authority,E12000007,London,E09000018,Hounslow,313,Special,4,487,189
Local authority,E12000007,London,E09000019,Islington,206,Secondary,7,4240,1003
Local authority,E12000001,North East,E06000004,Stockton-on-Tees,808,Secondary,13,12282,3378
Local authority,E12000008,South East,E06000041,Wokingham,872,Secondary,9,10206,1843
Local authority,E12000007,London,E09000002,Barking and Dagenham,301,PRU/Academy/Free school AP,1,190,155
Local authority,E12000005,West Midlands,E08000030,Walsall,335,Secondary,14,15680,4278
Local authority,E12000006,East of England,E06000056,Central Bedfordshire,823,Secondary,24,18397,4032
Local authority,E12000007,London,E09000030,Tower Hamlets,211,Secondary,14,11394,1849
Local authority,E12000007,London,E09000007,Camden,202,Secondary,9,7239,1788
Local authority,E12000008,South East,E06000036,Bracknell Forest,867,Primary,26,7289,1008
Local authority,E12000002,North West,E06000008,Blackburn with Darwen,889,Special,3,371,145
Local authority,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,815,PRU/Academy/Free school AP,5,130,109
Local authority,E12000007,London,E09000011,Greenwich,203,Secondary,11,11531,2406
Local authority,E12000004,East Midlands,E06000062,West Northamptonshire,941,Special,8,990,317
Local authority,E12000002,North West,E06000006,Halton,876,Secondary,8,8121,2220
Local authority,E12000004,East Midlands,E06000015,Derby,831,Special,5,532,207
Local authority,E12000007,London,E09000005,Brent,304,Secondary,9,9765,1855
Local authority,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,815,Special,9,936,370
Local authority,E12000007,London,E09000016,Havering,311,Secondary,15,12788,2575
Local authority,E12000005,West Midlands,E10000034,Worcestershire,885,Special,9,1297,488
Local authority,E12000007,London,E09000019,Islington,206,Special,6,459,164
Local authority,E12000007,London,E09000014,Haringey,309,Secondary,5,5395,1221
Local authority,E12000009,South West,E06000059,Dorset,838,Special,4,589,215
Local authority,E12000007,London,E09000004,Bexley,303,Secondary,11,11223,2688
Local authority,E12000007,London,E09000032,Wandsworth,212,Secondary,7,6524,1232
Local authority,E12000009,South West,E06000059,Dorset,838,PRU/Academy/Free school AP,3,166,127
Local authority,E12000001,North East,E08000023,South Tyneside,393,Special,4,572,165
Local authority,E12000008,South East,E06000041,Wokingham,872,Special,4,411,140
Local authority,E12000007,London,E09000022,Lambeth,208,Special,3,199,78
Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,370,Special,2,387,138
Local authority,E12000008,South East,E06000043,Brighton and Hove,846,Secondary,6,7291,1885
Local authority,E12000007,London,E09000006,Bromley,305,Secondary,12,12292,2971
Local authority,E12000001,North East,E06000001,Hartlepool,805,Secondary,4,5151,1455
Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,Secondary,14,13454,3862
Local authority,E12000008,South East,E10000025,Oxfordshire,931,Special,11,958,347
Local authority,E12000006,East of England,E10000015,Hertfordshire,919,Special,21,2474,875
Local authority,E12000002,North West,E08000001,Bolton,350,PRU/Academy/Free school AP,3,190,148
Local authority,E12000002,North West,E08000001,Bolton,350,Special,5,637,234
Local authority,E12000007,London,E09000033,Westminster,213,Secondary,7,5352,1230
Local authority,E12000002,North West,E08000006,Salford,355,Special,5,858,345
Local authority,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,PRU/Academy/Free school AP,6,589,325
Local authority,E12000007,London,E09000029,Sutton,319,PRU/Academy/Free school AP,2,239,184
Local authority,E12000005,West Midlands,E06000021,Stoke-on-Trent,861,Secondary,14,15468,4265
Local authority,E12000002,North West,E06000050,Cheshire West and Chester,896,PRU/Academy/Free school AP,2,93,81
Local authority,E12000009,South West,E06000022,Bath and North East Somerset,800,Special,2,297,121
Local authority,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Special,3,337,125
Local authority,E12000005,West Midlands,E06000021,Stoke-on-Trent,861,PRU/Academy/Free school AP,1,39,31
Local authority,E12000009,South West,E06000026,Plymouth,879,Special,7,664,233
Local authority,E12000007,London,E09000017,Hillingdon,312,PRU/Academy/Free school AP,1,92,69
Local authority,E12000004,East Midlands,E06000062,West Northamptonshire,941,PRU/Academy/Free school AP,2,127,85
Local authority,E12000007,London,E09000028,Southwark,210,Secondary,8,6772,1411
Local authority,E12000007,London,E09000028,Southwark,210,Special,3,203,93
Local authority,E12000006,East of England,E06000034,Thurrock,883,Secondary,9,7792,1941
Local authority,E12000001,North East,E08000037,Gateshead,390,Special,2,145,58
Local authority,E12000002,North West,E08000013,St. Helens,342,Secondary,8,9319,2342
Local authority,E12000001,North East,E06000047,County Durham,840,Secondary,25,22827,6792
Local authority,E12000008,South East,E06000043,Brighton and Hove,846,Special,2,256,125
Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,811,Special,2,222,85
Local authority,E12000009,South West,E06000024,North Somerset,802,Secondary,10,11880,3101
Local authority,E12000005,West Midlands,E06000020,Telford and Wrekin,894,PRU/Academy/Free school AP,3,162,126
Local authority,E12000002,North West,E08000007,Stockport,356,PRU/Academy/Free school AP,1,178,173
Local authority,E12000009,South West,E06000030,Swindon,866,Special,7,773,284
Local authority,E12000001,North East,E06000004,Stockton-on-Tees,808,Special,4,574,195
Local authority,E12000001,North East,E08000022,North Tyneside,392,Secondary,14,11317,2815
Local authority,E12000002,North West,E06000009,Blackpool,890,PRU/Academy/Free school AP,1,158,144
Local authority,E12000008,South East,E10000014,Hampshire,850,PRU/Academy/Free school AP,3,204,165
Local authority,E12000001,North East,E06000002,Middlesbrough,806,Special,5,595,195
Local authority,E12000009,South West,E06000027,Torbay,880,Secondary,8,8261,2296
Local authority,E12000001,North East,E06000047,County Durham,840,Special,8,1385,506
Local authority,E12000007,London,E09000016,Havering,311,Special,3,188,86
Local authority,E12000001,North East,E06000001,Hartlepool,805,Special,2,255,67
Local authority,E12000002,North West,E08000002,Bury,351,Secondary,12,11420,2784
Local authority,E12000007,London,E09000010,Enfield,308,PRU/Academy/Free school AP,1,80,57
Local authority,E12000002,North West,E06000009,Blackpool,890,Special,4,492,165
Local authority,E12000008,South East,E06000044,Portsmouth,851,Secondary,8,8441,2340
Local authority,E12000005,West Midlands,E08000029,Solihull,334,Special,3,374,123
Local authority,E12000008,South East,E10000030,Surrey,936,PRU/Academy/Free school AP,6,247,177
Local authority,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,Special,1,156,33
Local authority,E12000007,London,E09000029,Sutton,319,Special,4,570,241
Local authority,E12000005,West Midlands,E10000034,Worcestershire,885,PRU/Academy/Free school AP,7,383,291
Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,380,PRU/Academy/Free school AP,1,83,59
Local authority,E12000009,South West,E06000052,Cornwall,908,PRU/Academy/Free school AP,6,327,231
Local authority,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,PRU/Academy/Free school AP,1,30,15
Local authority,E12000007,London,E09000013,Hammersmith and Fulham,205,Special,3,471,182
Local authority,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,812,Special,2,315,93
Local authority,E12000004,East Midlands,E06000015,Derby,831,PRU/Academy/Free school AP,3,334,280
Local authority,E12000007,London,E09000028,Southwark,210,PRU/Academy/Free school AP,1,73,57
Local authority,E12000007,London,E09000008,Croydon,306,Special,4,547,188
Local authority,E12000002,North West,E06000008,Blackburn with Darwen,889,PRU/Academy/Free school AP,2,349,287
Local authority,E12000005,West Midlands,E06000021,Stoke-on-Trent,861,Special,4,643,234
Local authority,E12000001,North East,E06000003,Redcar and Cleveland,807,Special,3,381,135
Local authority,E12000007,London,E09000006,Bromley,305,Special,3,498,224
Local authority,E12000007,London,E09000012,Hackney,204,Secondary,10,7284,1547
Local authority,E12000008,South East,E06000036,Bracknell Forest,867,Special,1,154,43
Local authority,E12000007,London,E09000023,Lewisham,209,Special,4,659,262
Local authority,E12000005,West Midlands,E08000026,Coventry,331,PRU/Academy/Free school AP,1,129,124
Local authority,E12000003,Yorkshire and The Humber,E08000018,Rotherham,372,PRU/Academy/Free school AP,1,147,129
Local authority,E12000007,London,E09000011,Greenwich,203,PRU/Academy/Free school AP,1,170,128
Local authority,E12000001,North East,E08000023,South Tyneside,393,State-funded nursery,1,1,0
Local authority,E12000008,South East,E06000038,Reading,870,Special,4,334,138
Local authority,E12000007,London,E09000023,Lewisham,209,PRU/Academy/Free school AP,1,132,94
Local authority,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,Special,4,522,204
Local authority,E12000006,East of England,E10000015,Hertfordshire,919,PRU/Academy/Free school AP,6,333,270
Local authority,E12000007,London,E09000003,Barnet,302,PRU/Academy/Free school AP,2,182,158
Local authority,E12000005,West Midlands,E08000027,Dudley,332,Special,6,715,220
Local authority,E12000005,West Midlands,E08000028,Sandwell,333,PRU/Academy/Free school AP,3,259,221
Local authority,E12000007,London,E09000009,Ealing,307,Special,4,504,151
Local authority,E12000002,North West,E08000007,Stockport,356,Secondary,12,14351,3311
Local authority,E12000008,South East,E06000041,Wokingham,872,PRU/Academy/Free school AP,1,40,33
Local authority,E12000007,London,E09000020,Kensington and Chelsea,207,Special,2,165,50
Local authority,E12000009,South West,E06000054,Wiltshire,865,Special,4,935,297
Local authority,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,Special,5,591,189
Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,391,PRU/Academy/Free school AP,2,318,267
Local authority,E12000008,South East,E06000045,Southampton,852,PRU/Academy/Free school AP,1,122,103
Local authority,E12000009,South West,E06000030,Swindon,866,Secondary,13,12916,3362
Local authority,E12000007,London,E09000024,Merton,315,Secondary,6,6314,1121
Local authority,E12000008,South East,E06000046,Isle of Wight,921,PRU/Academy/Free school AP,1,92,75
Local authority,E12000007,London,E09000021,Kingston upon Thames,314,Special,3,404,172
Local authority,E12000001,North East,E08000024,Sunderland,394,PRU/Academy/Free school AP,3,286,221
Local authority,E12000002,North West,E08000010,Wigan,359,Special,3,255,123
Local authority,E12000006,East of England,E06000033,Southend-on-Sea,882,PRU/Academy/Free school AP,2,161,107
Local authority,E12000001,North East,E08000024,Sunderland,394,Special,6,760,316
Local authority,E12000006,East of England,E10000020,Norfolk,926,PRU/Academy/Free school AP,2,492,435
Local authority,E12000008,South East,E06000045,Southampton,852,Special,3,631,203
Local authority,E12000007,London,E09000009,Ealing,307,PRU/Academy/Free school AP,1,115,39
Local authority,E12000002,North West,E08000008,Tameside,357,Special,5,775,280
Local authority,E12000006,East of England,E10000029,Suffolk,935,PRU/Academy/Free school AP,2,19,9
Local authority,E12000008,South East,E06000060,Buckinghamshire,825,PRU/Academy/Free school AP,2,253,188
Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,391,Special,4,746,313
Local authority,E12000001,North East,E08000022,North Tyneside,392,PRU/Academy/Free school AP,1,371,326
Local authority,E12000002,North West,E06000064,Westmorland and Furness,943,PRU/Academy/Free school AP,1,51,40
Local authority,E12000004,East Midlands,E10000018,Leicestershire,855,PRU/Academy/Free school AP,1,19,10
Local authority,E12000002,North West,E08000013,St. Helens,342,Special,3,355,123
Local authority,E12000002,North West,E08000005,Rochdale,354,Special,3,620,371
Local authority,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,PRU/Academy/Free school AP,2,149,138
Local authority,E12000009,South West,E06000025,South Gloucestershire,803,Special,2,176,69
Local authority,E12000004,East Midlands,E06000017,Rutland,857,Secondary,3,2997,729
Local authority,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Special,8,1733,584
Local authority,E12000007,London,E09000026,Redbridge,317,Special,4,531,196
Local authority,E12000008,South East,E06000044,Portsmouth,851,Special,4,689,328
Local authority,E12000004,East Midlands,E10000019,Lincolnshire,925,PRU/Academy/Free school AP,5,278,180
Local authority,E12000009,South West,E06000027,Torbay,880,PRU/Academy/Free school AP,1,53,51
Local authority,E12000007,London,E09000025,Newham,316,Special,3,211,111
Local authority,E12000007,London,E09000014,Haringey,309,PRU/Academy/Free school AP,1,87,41
Local authority,E12000005,West Midlands,E08000029,Solihull,334,PRU/Academy/Free school AP,2,169,117
Local authority,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Special,5,330,100
Local authority,E12000002,North West,E08000003,Manchester,352,PRU/Academy/Free school AP,2,344,271
Local authority,E12000008,South East,E06000042,Milton Keynes,826,PRU/Academy/Free school AP,2,194,186
Local authority,E12000005,West Midlands,E08000030,Walsall,335,PRU/Academy/Free school AP,2,169,131
Local authority,E12000007,London,E09000012,Hackney,204,PRU/Academy/Free school AP,1,45,32
Local authority,E12000001,North East,E08000023,South Tyneside,393,Secondary,4,4211,1228
Local authority,E12000007,London,E09000032,Wandsworth,212,PRU/Academy/Free school AP,1,41,14
Local authority,E12000002,North West,E08000011,Knowsley,340,PRU/Academy/Free school AP,1,166,144
Local authority,E12000001,North East,E06000004,Stockton-on-Tees,808,PRU/Academy/Free school AP,1,73,68
Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,381,Special,2,268,77
Local authority,E12000009,South West,E10000013,Gloucestershire,916,PRU/Academy/Free school AP,1,208,189
Local authority,E12000008,South East,E06000035,Medway,887,PRU/Academy/Free school AP,1,82,39
Local authority,E12000001,North East,E06000047,County Durham,840,PRU/Academy/Free school AP,1,56,45
Local authority,E12000009,South West,E06000052,Cornwall,908,Special,4,439,159
Local authority,E12000002,North West,E06000007,Warrington,877,PRU/Academy/Free school AP,1,53,45
Local authority,E12000005,West Midlands,E08000031,Wolverhampton,336,State-funded nursery,2,2,2
Local authority,E12000009,South West,E06000066,Somerset,933,PRU/Academy/Free school AP,2,156,100
Local authority,E12000003,Yorkshire and The Humber,E06000014,York,816,Special,2,295,83
Local authority,E12000007,London,E09000031,Waltham Forest,320,PRU/Academy/Free school AP,2,34,23
Local authority,E12000007,London,E09000005,Brent,304,Special,3,345,73
Local authority,E12000007,London,E09000025,Newham,316,PRU/Academy/Free school AP,3,314,201
Local authority,E12000007,London,E09000012,Hackney,204,Special,2,251,90
Local authority,E12000002,North West,E06000063,Cumberland,942,Special,3,390,128
Local authority,E12000006,East of England,E06000031,Peterborough,874,PRU/Academy/Free school AP,1,163,145
Local authority,E12000002,North West,E06000049,Cheshire East,895,PRU/Academy/Free school AP,2,125,96
Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,PRU/Academy/Free school AP,2,180,122
Local authority,E12000009,South West,E06000030,Swindon,866,PRU/Academy/Free school AP,1,154,132
Local authority,E12000007,London,E09000013,Hammersmith and Fulham,205,PRU/Academy/Free school AP,2,135,102
Local authority,E12000008,South East,E10000025,Oxfordshire,931,PRU/Academy/Free school AP,1,144,119
Local authority,E12000006,East of England,E06000055,Bedford,822,PRU/Academy/Free school AP,1,105,80
Local authority,E12000007,London,E09000020,Kensington and Chelsea,207,PRU/Academy/Free school AP,1,85,71
Local authority,E12000005,West Midlands,E08000025,Birmingham,330,PRU/Academy/Free school AP,2,102,75
Local authority,E12000002,North West,E08000009,Trafford,358,PRU/Academy/Free school AP,1,111,101
Local authority,E12000005,West Midlands,E10000028,Staffordshire,860,PRU/Academy/Free school AP,4,240,205
Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,380,State-funded nursery,1,1,0
Local authority,E12000007,London,E09000030,Tower Hamlets,211,PRU/Academy/Free school AP,1,181,133
Local authority,E12000002,North West,E08000008,Tameside,357,PRU/Academy/Free school AP,1,154,133
Local authority,E12000002,North West,E06000063,Cumberland,942,PRU/Academy/Free school AP,1,82,65
Local authority,E12000008,South East,E10000011,East Sussex,845,PRU/Academy/Free school AP,2,256,226
Local authority,E12000009,South West,E06000053,Isles of Scilly,420,Secondary,1,234,49
Local authority,E12000008,South East,E10000016,Kent,886,PRU/Academy/Free school AP,3,238,192
Local authority,E12000001,North East,E06000057,Northumberland,929,PRU/Academy/Free school AP,1,58,50
Local authority,E12000005,West Midlands,E06000051,Shropshire,893,Special,1,56,40
Local authority,E12000002,North West,E08000002,Bury,351,Special,2,418,147
Local authority,E12000007,London,E09000006,Bromley,305,PRU/Academy/Free school AP,1,127,92
Local authority,E12000001,North East,E08000023,South Tyneside,393,PRU/Academy/Free school AP,1,88,51
Local authority,E12000007,London,E09000005,Brent,304,PRU/Academy/Free school AP,1,19,13
Local authority,E12000001,North East,E06000003,Redcar and Cleveland,807,PRU/Academy/Free school AP,1,89,84
Local authority,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,PRU/Academy/Free school AP,1,90,71
Local authority,E12000007,London,E09000026,Redbridge,317,PRU/Academy/Free school AP,2,145,100
Local authority,E12000001,North East,E06000005,Darlington,841,Special,2,339,94
Local authority,E12000007,London,E09000004,Bexley,303,PRU/Academy/Free school AP,1,91,70
Local authority,E12000007,London,E09000033,Westminster,213,PRU/Academy/Free school AP,1,98,72
Local authority,E12000002,North West,E06000006,Halton,876,PRU/Academy/Free school AP,1,114,97
Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,370,PRU/Academy/Free school AP,1,81,72
Local authority,E12000007,London,E09000011,Greenwich,203,Special,2,301,108
Local authority,E12000002,North West,E08000004,Oldham,353,PRU/Academy/Free school AP,1,118,92
Local authority,E12000007,London,E09000022,Lambeth,208,PRU/Academy/Free school AP,1,136,99
Local authority,E12000001,North East,E06000001,Hartlepool,805,PRU/Academy/Free school AP,1,60,57
Local authority,E12000008,South East,E06000037,West Berkshire,869,PRU/Academy/Free school AP,1,123,97
Local authority,E12000007,London,E09000018,Hounslow,313,PRU/Academy/Free school AP,1,196,136
Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,381,PRU/Academy/Free school AP,1,86,75
Local authority,E12000005,West Midlands,E08000027,Dudley,332,PRU/Academy/Free school AP,1,34,28
Local authority,E12000007,London,E09000024,Merton,315,PRU/Academy/Free school AP,1,112,61
Local authority,E12000009,South West,E06000024,North Somerset,802,Special,1,106,27
Local authority,E12000008,South East,E06000036,Bracknell Forest,867,PRU/Academy/Free school AP,1,31,29
Regional,E12000004,East Midlands,,,,PRU/Academy/Free school AP,19,1695,1310
Regional,E12000002,North West,,,,Special,147,18854,6977
Regional,E12000001,North East,,,,Secondary,153,132516,37567
Regional,E12000007,London,,,,Special,126,14767,5536
Regional,E12000006,East of England,,,,Secondary,311,290338,67738
Regional,E12000002,North West,,,,Secondary,413,393165,98093
Regional,E12000006,East of England,,,,PRU/Academy/Free school AP,17,1695,1431
Regional,E12000005,West Midlands,,,,Primary,1652,399488,65224
Regional,E12000007,London,,,,Secondary,352,329864,67373
Regional,E12000007,London,,,,PRU/Academy/Free school AP,36,3278,2325
Regional,E12000003,Yorkshire and The Humber,,,,Special,72,9755,3434
Regional,E12000002,North West,,,,PRU/Academy/Free school AP,41,4200,3482
Regional,E12000005,West Midlands,,,,State-funded nursery,2,2,2
Regional,E12000001,North East,,,,Special,53,7517,2708
Regional,E12000006,East of England,,,,Special,96,12206,4379
Regional,E12000005,West Midlands,,,,Special,105,13900,4942
Regional,E12000003,Yorkshire and The Humber,,,,State-funded nursery,1,1,0
Regional,E12000002,North West,,,,Primary,2298,503528,84179
Regional,E12000001,North East,,,,Primary,770,154160,29048
Regional,E12000003,Yorkshire and The Humber,,,,Primary,1646,359623,61229
Regional,E12000005,West Midlands,,,,PRU/Academy/Free school AP,31,2063,1635
Regional,E12000004,East Midlands,,,,Secondary,250,248594,62759
Regional,E12000007,London,,,,Primary,1521,484321,75139
Regional,E12000008,South East,,,,Special,131,18015,6566
Regional,E12000009,South West,,,,Secondary,289,259238,69543
Regional,E12000001,North East,,,,State-funded nursery,1,1,0
Regional,E12000003,Yorkshire and The Humber,,,,Secondary,288,297246,78162
Regional,E12000006,East of England,,,,Primary,1800,394767,60844
Regional,E12000009,South West,,,,Primary,1656,310497,48016
Regional,E12000004,East Midlands,,,,Primary,1517,314474,50637
Regional,E12000009,South West,,,,Special,71,9382,3333
Regional,E12000009,South West,,,,PRU/Academy/Free school AP,22,1775,1400
Regional,E12000005,West Midlands,,,,Secondary,363,322501,79244
Regional,E12000008,South East,,,,PRU/Academy/Free school AP,26,2106,1708
Regional,E12000008,South East,,,,Secondary,420,428417,103798
Regional,E12000004,East Midlands,,,,Special,78,9746,3630
Regional,E12000001,North East,,,,PRU/Academy/Free school AP,12,1399,1169
Regional,E12000008,South East,,,,Primary,2333,556936,86827
Regional,E12000003,Yorkshire and The Humber,,,,PRU/Academy/Free school AP,27,2044,1490
National,,,,,,Secondary,2839,2701879,664277
National,,,,,,Special,879,114142,41505
National,,,,,,State-funded nursery,4,4,2
National,,,,,,PRU/Academy/Free school AP,231,20255,15950
National,,,,,,Primary,15193,3477794,561143
