geographic_level,region_code,region_name,new_la_code,la_name,old_la_code,school_type,num_schools,autumn_enrolments,pa_flag
Local authority,E12000004,East Midlands,E10000019,Lincolnshire,925,Secondary,51,40873,10926
Local authority,E12000005,West Midlands,E06000051,Shropshire,893,Primary,119,17385,2750
Local authority,E12000002,North West,E06000050,Cheshire West and Chester,896,Special,10,978,313
Local authority,E12000009,South West,E06000024,North Somerset,802,Primary,52,11515,1831
Local authority,E12000007,London,E09000014,Haringey,309,Primary,52,13713,2089
Local authority,E12000008,South East,E06000060,Buckinghamshire,825,Secondary,27,26220,5397
Local authority,E12000002,North West,E06000050,Cheshire West and Chester,896,Secondary,17,16759,4319
Local authority,E12000009,South West,E06000059,Dorset,838,Primary,117,17297,2681
Local authority,E12000009,South West,E06000052,Cornwall,908,Primary,229,33785,5832
Local authority,E12000009,South West,E06000054,Wiltshire,865,Secondary,19,17611,4300
Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,Special,7,693,232
Local authority,E12000008,South East,E10000016,Kent,886,Primary,404,98281,18106
Local authority,E12000001,North East,E08000024,Sunderland,394,Secondary,17,14690,4656
Local authority,E12000008,South East,E10000011,East Sussex,845,Primary,132,28381,5065
Local authority,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Primary,128,37574,6816
Local authority,E12000004,East Midlands,E06000016,Leicester,856,Secondary,17,20779,4540
Local authority,E12000001,North East,E06000047,County Durham,840,Primary,182,28811,5661
Local authority,E12000005,West Midlands,E08000029,Solihull,334,Secondary,11,10343,2708
Local authority,E12000004,East Midlands,E06000018,Nottingham,892,Primary,74,22846,4597
Local authority,E12000007,London,E09000002,Barking and Dagenham,301,Primary,38,17311,2965
Local authority,E12000002,North West,E08000006,Salford,355,Primary,78,19619,3759
Local authority,E12000005,West Midlands,E10000031,Warwickshire,937,Secondary,33,31359,7984
Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,380,Primary,145,43062,8057
Local authority,E12000008,South East,E06000042,Milton Keynes,826,Special,6,800,304
Local authority,E12000001,North East,E08000024,Sunderland,394,Primary,63,13662,2762
Local authority,E12000007,London,E09000023,Lewisham,209,Primary,60,17256,2592
Local authority,E12000002,North West,E08000012,Liverpool,341,Secondary,27,25094,6907
Local authority,E12000008,South East,E10000025,Oxfordshire,931,Primary,224,42695,6073
Local authority,E12000005,West Midlands,E10000028,Staffordshire,860,Secondary,57,42844,10006
Local authority,E12000004,East Midlands,E10000024,Nottinghamshire,891,Primary,261,54579,9521
Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,370,Secondary,10,12651,3609
Local authority,E12000008,South East,E10000014,Hampshire,850,Secondary,65,68504,16855
