"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","education_phase","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_mobile_child","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_c1_authorised_regulated_performance","reason_j1_authorised_interview","reason_c2_authorised_temp_reduced_timetable","reason_b_aea_education_off_site","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_k_aea_education_arranged_by_la","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_mob_perc","auth_excluded_perc","auth_performance_perc","auth_interview_perc","auth_part_time_perc","auth_other_perc","pa_perc"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000008","South East","E06000060","Buckinghamshire","825","Primary",182.028571428571,"39528.1714285714","4839857","4867664","27807","256964","202486","54478","63161","5124628","2368254","2415918","4784172","55685","162980","12834","217","61","1139","0","988","17566","413","413","5875","2162","0","2371","22830","2","442","22785","7476","22834","1383","183","44255","94.9857043281971","5.01429567180291","3.95123314316668","1.06306252863622","3.18032840627651","0.250437690306496","0.44461763858762","0.445573805552325","0.145883759757781","0.0269873247384981","0.00423445370083448","0.00119033030299955","0.0222260035264999","0.0192794481862879","0.00805912155965272","0.00805912155965272","0.114642467706924","0.342776100040822","14.3739000236413"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000004","Bexley","303","Primary",57.6571428571429,"17832.8","2295829","2317358","21529","118447","84509","33938","35369","2435805","1117215","1145855","2263070","32759","70828","6605","158","159","10","0","478","4171","23","302","1775","3325","0","328","17814","1","61","10769","2610","19534","1025","60","22381","95.1372544189703","4.86274558102968","3.46944849854566","1.39329708248402","2.90778613230534","0.271162921498232","0.442112566482128","0.801952537251545","0.107151434536016","0.0420805442143357","0.00648656193742931","0.00652761612690671","0.000410541894774007","0.0196239025701975","0.000944246357980216","0.012398365222175","0.0728711863223862","0.171237024310238","14.738097820193"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000009","South West","E06000054","Wiltshire","865","Primary",196.771428571429,"31392.9285714286","3980650","4019086","38436","204485","165429","39056","36081","4223571","1967257","1983190","3950447","30203","128985","10667","167","5","69","18","1161","16060","27","151","8119","7339","6","3997","25116","1","1977","15961","5878","15297","1920","200","35484","95.1584808210872","4.84151917891282","3.91680405041137","0.924715128501451","3.05393232409257","0.252558794441954","0.377902964103125","0.36218167043954","0.139171331558058","0.0454591624007268","0.00395400006297988","0.000118383235418559","0.00163368864877612","0.0274885872641895","0.00063926947126022","0.00357517370964049","0.192230697672657","0.380246952164413","12.9897798499398"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000012","Hackney","204","Primary",53.7857142857143,"13982.4142857143","1776791","1787869","11078","97209","73294","23915","41961","1885078","850472","885776","1736248","40543","55591","4671","184","21","88","4","408","10782","37","242","1266","3212","0","533","7142","3","188","5434","1418","14286","2777","54","17201","94.843237255965","5.156762744035","3.88811497455278","1.26864776948222","2.94900264073953","0.24778815518509","0.288263933906183","0.757846624914195","0.0752223515419521","0.147314859119888","0.0097608693115086","0.0011140122583787","0.00466824184463455","0.0216436667342147","0.00196278350285771","0.012837665072745","0.0671590247194015","0.571965722373292","15.9497955154421"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000017","Hillingdon","312","Primary",66.8769230769231,"23876.1384615385","2709354","2722506","13152","172199","127483","44716","42426","2894705","1319339","1352073","2671412","37942","102208","6785","328","4","506","0","571","14798","278","94","1911","2578","0","837","9634","0","103","12424","4484","24634","3174","67","29034","94.0512418363875","5.94875816361253","4.40400662589107","1.54475153772146","3.53086065764905","0.234393487419271","0.42919744844466","0.851002088295699","0.154903522120561","0.10964847886054","0.0113310337322801","0.000138183338198538","0.0174801922821151","0.0197256715278414","0.00960374200479842","0.00324730844766565","0.0660170898243517","0.511209259665493","19.2572448372567"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000006","East of England","E06000055","Bedford","822","Primary",54.7428571428571,"14341.6285714286","1784280","1793790","9510","92167","69880","22287","19393","1885957","878772","889212","1767984","16296","58412","4520","55","1","0","0","506","4986","145","54","1201","824","0","902","7701","0","83","9132","3097","9342","716","54","15608","95.112985078663","4.88701492133702","3.70528066122398","1.18173426011304","3.09720741247017","0.239666121762055","0.484210403524577","0.495345333960424","0.16421371218962","0.037964810438414","0.00291629130462678","5.30234782659414e-05","0","0.0268298800025663","0.0076884043485615","0.00286326782636083","0.0636811973973956","0.264375062633984","15.0163143708327"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000008","South East","E10000030","Surrey","936","Primary",294.071428571429,"73972.0142857143","9597918","9666807","68889","498564","390526","108038","111244","10165371","4710766","4791379","9502145","95773","307672","26135","674","53","1426","13","3492","30338","547","4597","15579","7469","15","6813","53401","0","1191","41600","15471","48045","2922","299","86949","95.0954667566978","4.90453324330219","3.84172894427562","1.06280429902657","3.0266676936828","0.257098339057178","0.409232481529695","0.472634004208995","0.152193166388123","0.0287446468997541","0.00663035318632247","0.00052137792117966","0.0140280172755131","0.0343519188822523","0.00538101363934479","0.0452221566728848","0.153255596869017","0.298444591938651","13.6025000329646"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000002","North West","E06000049","Cheshire East","895","Primary",121.157142857143,"25412.4857142857","3290884","3317920","27036","157959","125851","32108","29294","3475879","1624593","1641470","3266063","24821","100320","9268","114","6","39","0","485","11560","113","229","3717","2010","0","3789","21168","6","63","17096","4473","9721","818","123","30099","95.4555667789356","4.54443322106437","3.62069565712731","0.923737563937065","2.88617641753352","0.266637590088723","0.491846810547778","0.279670264701389","0.128686873162156","0.0235336155257418","0.00327974592901537","0.000172618206790282","0.00112201834413684","0.0139533050488812","0.00325097622788365","0.00658826155916244","0.10693697910658","0.332577745082611","12.8474510564063"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000004","East Midlands","E10000018","Leicestershire","855","Primary",227.385714285714,"47137.9428571429","6130105","6187619","57514","322673","256940","65733","55326","6510292","3025419","3058316","6083735","46370","212653","16301","1339","8","1483","3","1387","17208","93","144","6321","5772","0","4575","46826","3","338","26482","8956","27936","2359","230","53706","95.0436478118032","4.95635218819678","3.94667397407059","1.00967821412619","3.26641262788213","0.250388154632695","0.406771309182445","0.42910517684921","0.13756679423903","0.0362349338555014","0.0205674338416771","0.000122882353049602","0.02277931619657","0.0213047279599748","0.00142850735420162","0.00221188235489284","0.0970924192033168","0.264319941409694","14.448453824529"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E06000013","North Lincolnshire","813","Primary",61.7714285714286,"10975.8714285714","1428076","1436462","8386","75222","51952","23270","15490","1511684","701831","712763","1414594","13482","43373","3748","30","0","148","0","387","3025","105","8","1128","684","0","872","6531","0","299","8659","2008","12107","496","62","13316","95.0239600339754","4.97603996602465","3.43669708748654","1.53934287853811","2.86918430042257","0.247935415073521","0.572804898378232","0.800894896023243","0.132831993988162","0.0328110901484702","0.00198454174285102","0","0.00979040593139836","0.0256005884827781","0.00694589609997857","0.000529211131426938","0.0746187695311983","0.200107959070811","15.7269234206058"
