"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","school_type","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_grt_absence","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_b_aea_education_off_site","reason_d_aea_dual_registration","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","reason_x_not_attending_covid_non_compulsory","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_grt_perc","auth_holiday_perc","auth_excluded_perc","auth_other_perc","covid_non_compulsory_perc","pa_perc"
"202223","202223","Spring term","Local authority","E92000001","England","E12000005","West Midlands","E08000027","Dudley",332,"Primary",71.1525423728814,"21055.8983050847","2250152","2263769","13617","142419","100540","41879","30210","2406188","1101551","1122910","2224461","25691","85529","5084","20","0","515","684","871","7835","1617","1466","7","801","11192","0","7935","4519","28431","994","2","78","27346","94.0811358048498","5.91886419515017","4.1783933757462","1.74047081940397","3.55454353525161","0.211288560993572","0.329774730819038","1.18157849677581","0.187807436492909","0.0413101553162097","0.000831190247811061","0","0.0214031488811348","0.0284267064751383","0.0361983352921717","0.325618779579983","8.3119024781106e-05","19.1244342877627"
"202223","202223","Spring term","Local authority","E92000001","England","E12000009","South West","E06000030","Swindon",866,"Primary",63.2881355932203,"17335.8983050847","1838381","1846885","8504","105011","82113","22898","19070","1951896","904925","917728","1822653","15728","68917","4480","123","4","8","845","173","6661","1128","364","6","767","6603","0","8997","3342","9436","1123","902","66","19959","94.6200514781525","5.37994852184748","4.20683274108866","1.17311578075881","3.53077213130208","0.229520425268559","0.460936443335096","0.483427395721903","0.171218138671323","0.0575338030304893","0.00630156524732875","0.000204928951132642","0.000409857902265285","0.0432912409267707","0.00886317713648678","0.341257935873633","0.0462114784804108","16.7596839255125"
"202223","202223","Spring term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E06000013","North Lincolnshire",813,"Primary",60.3050847457627,"11529.2881355932","1254092","1261755","7663","73141","53701","19440","11460","1334896","619270","625444","1244714","9378","46625","3400","16","1","88","363","147","3032","897","1410","0","662","6104","0","4289","2082","11838","1231","29","61","13824","94.5208465678225","5.47915343217749","4.02286020783642","1.45629322434107","3.49278146012873","0.254701489853891","0.321298438230394","0.886810657908931","0.155967206434059","0.0922169217676883","0.00119859524637125","7.49122028982033e-05","0.00659227385504189","0.0271931296520478","0.0110120938260359","0.227133799187352","0.0021724538840479","17.0024241411017"
"202223","202223","Spring term","Local authority","E92000001","England","E12000005","West Midlands","E08000025","Birmingham",330,"Primary",253.35593220339,"83781","8647117","8689192","42075","601375","405618","195757","165458","9290567","4437760","4060273","8498033","149084","337239","19664","323","0","33","2094","3208","40771","6984","2250","67","1342","33682","0","54460","16374","115776","9147","2286","293","110419","93.5270366168179","6.4729633831821","4.36591222042745","2.10705116275465","3.62990762565945","0.21165554265956","0.586185966906003","1.24616721455214","0.176243279877321","0.0984547014191922","0.0034766446439706","0","0.000355198988393281","0.02253899035441","0.0345296471141105","0.438842968357044","0.0246056026505164","21.0140155060256"
"202223","202223","Spring term","Local authority","E92000001","England","E12000005","West Midlands","E08000029","Solihull",334,"Primary",54.5932203389831,"15713.813559322","1653070","1663276","10206","96902","72321","24581","21072","1760178","810662","824934","1635596","17474","59180","3949","25","0","280","563","718","7564","1549","761","18","1168","7471","0","5155","3598","15217","611","42","59","19449","94.4947613252751","5.50523867472494","4.10873218504038","1.39650648968457","3.36215996336734","0.224352309823211","0.292868107657294","0.864514838840163","0.204411144781948","0.0347123984051613","0.00142031090037485","0","0.0159074820841983","0.0319854014764416","0.0407913290587656","0.429729266017414","0.00238612231262975","17.4187203517297"
"202223","202223","Spring term","Local authority","E92000001","England","E12000008","South East","E06000040","Windsor and Maidenhead",868,"Primary",45.4915254237288,"9144.6779661017","961363","968814","7451","57935","44947","12988","11602","1026749","472899","478653","951552","9811","38205","2489","22","0","18","409","282","3522","809","683","78","2141","4423","0","4784","1791","4680","1733","0","46","10085","94.35743302404","5.64256697596004","4.37760348439589","1.26496349156415","3.72096783147585","0.242415624461285","0.465936660274322","0.455807602442272","0.174434063242331","0.168785165605226","0.00214268531062606","0","0.00175310616323951","0.0398344678202755","0.0274653298907523","0.343024439273863","0","18.1780322748568"
"202223","202223","Spring term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000017","Doncaster",371,"Primary",86.1864406779661,"19369","2041820","2057451","15631","122709","87857","34852","22119","2180160","1004236","1017918","2022154","19666","73882","4786","45","0","1021","403","889","6360","1065","1346","4","559","13973","30","7933","2453","22127","2339","471","98","26561","94.371559885513","5.62844011448701","4.02984184646998","1.59859826801703","3.3888338470571","0.219525172464406","0.363872376339351","1.01492551005431","0.112514677821811","0.107285703801556","0.00206406869220608","0","0.0468314252164979","0.0184848818435344","0.04077682371936","0.291721708498459","0.0216039189784236","18.354743083004"
"202223","202223","Spring term","Local authority","E92000001","England","E12000006","East of England","E06000033","Southend-on-Sea",882,"Primary",17.9491525423729,"7437.47457627119","744184","749826","5642","44421","32647","11774","9321","794247","364813","370760","735573","8611","27535","1352","16","1","0","385","129","3216","448","456","4","1333","3857","0","3728","710","7075","261","13","33","15715","94.4071554566778","5.59284454332217","4.11043415965059","1.48241038367158","3.4668056662474","0.170224124233393","0.469375395815156","0.89078082762667","0.089392846305998","0.0328613139237542","0.00201448667731827","0.000125905417332392","0","0.0484735856729707","0.0162417988358785","0.404911822140971","0.00163677042532109","17.4605196128375"
"202223","202223","Spring term","Local authority","E92000001","England","E12000002","North West","E08000015","Wirral",344,"Primary",86.406779661017,"20965.0169491525","2131129","2141087","9958","127078","94848","32230","29694","2268165","1040358","1065019","2105377","25752","79356","5621","35","2","1","1671","415","7675","2257","2965","38","628","7035","0","6615","3942","20318","1355","72","89","26067","94.3973211825418","5.60267881745817","4.18170635734173","1.42097246011644","3.49868726481539","0.247821476832594","0.291645449074472","0.895790209266081","0.173796879856624","0.0597399219192607","0.00154309761415065","8.8177006522894e-05","4.4088503261447e-05","0.073671888949878","0.0182967288535005","0.338379262531606","0.00317437223482419","17.1356807293362"
"202223","202223","Spring term","Local authority","E92000001","England","E12000005","West Midlands","E08000031","Wolverhampton",336,"Primary",62.5254237288136,"19099.1525423729","1986687","1999547","12860","137538","86071","51467","33998","2137085","963680","989869","1953549","33138","70905","3582","88","1","1","1833","335","9177","1489","1200","21","282","11068","0","11542","860","36775","2290","149","71","26230","93.5642241651595","6.43577583484045","4.02749539676709","2.40828043807336","3.31783714732919","0.167611489482168","0.54008146610921","1.7208019334748","0.0402417311431225","0.107155307346222","0.00411775853557533","4.67927106315378e-05","4.67927106315378e-05","0.0857710385876088","0.0156755580615652","0.429416705465623","0.00697211388409913","20.7119908798839"
"202223","202223","Spring term","Local authority","E92000001","England","E12000002","North West","E06000007","Warrington",877,"Primary",61.7966101694915,"13608.5593220339","1449863","1460738","10875","68780","53520","15260","16824","1529518","711526","722730","1434256","15607","46626","3355","96","0","102","286","145","2909","1372","118","31","835","8636","1","6891","1217","6470","682","1","69","18475","95.5031585113742","4.49684148862583","3.49914155962859","0.99769992899724","3.04841132958226","0.219350148216628","0.450534089824376","0.423009078677073","0.0795675500386396","0.0445892104571506","0.00627648710247281","0","0.00666876754637736","0.0186987011594502","0.0094801107276933","0.190190635219723","6.53800739840917e-05","13.8438459889992"
"202223","202223","Spring term","Local authority","E92000001","England","E12000002","North West","E08000002","Bury",351,"Primary",59.2372881355932,"13028.0338983051","1412608","1420403","7795","79104","60398","18706","23362","1499507","686658","705670","1392328","20280","49071","3877","132","0","27","699","236","6350","1460","944","94","807","5434","0","6777","3082","7716","1131","6","64","16779","94.7246661736157","5.27533382638427","4.02785715571851","1.24747667066576","3.27247555363196","0.258551643973653","0.451948540420285","0.514569121718005","0.205534218913283","0.0754247896141865","0.00880289321757084","0","0.00180059179450313","0.0466153209021365","0.015738506055657","0.423472514633143","0.000400131509889584","15.6201578986202"
"202223","202223","Spring term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000032","Bradford",380,"Primary",142.559322033898,"41895.8305084746","4339669","4364865","25196","287627","179297","108330","78914","4652492","2110033","2157722","4267755","71914","150026","11195","108","1","80","1243","1342","15161","2663","863","24","1065","21444","0","39357","7000","57286","4687","141","156","53344","93.8177862530446","6.1822137469554","3.85378416556117","2.32842958139423","3.22463746310579","0.240623734549141","0.845933749053196","1.23129711990907","0.150457002397855","0.100741710034106","0.00232133660842404","2.14938574854078e-05","0.00171950859883263","0.0267168648543619","0.0288447567454173","0.325868373336268","0.0030306339054425","19.1710688603942"
"202223","202223","Spring term","Local authority","E92000001","England","E12000009","South West","E06000026","Plymouth",879,"Primary",69.4406779661017,"17757.8474576271","1891009","1900138","9129","113077","85805","27272","21995","2013215","929158","944085","1873243","17766","71402","5689","140","2","135","1035","449","6643","2617","556","2","1772","4738","0","6540","4229","14582","1921","310","69","20543","94.3832625924206","5.61673740757942","4.26208825187573","1.35464915570369","3.54666540831456","0.282582833924842","0.324853530298552","0.7243140946198","0.210062015234339","0.0954195155509968","0.00695405110730846","9.93435872472637e-05","0.0067056921391903","0.051410306400459","0.0223026353370107","0.329969725041786","0.0153982560233259","17.5698960591407"
"202223","202223","Spring term","Local authority","E92000001","England","E12000005","West Midlands","E06000021","Stoke-on-Trent",861,"Primary",67.5762711864407,"18740.6610169492","1983752","2000805","17053","121094","69294","51800","29490","2121899","968758","988417","1957175","26577","60500","3103","13","0","0","136","1062","4229","2443","252","9","414","14187","0","8912","2913","39348","627","251","71","24783","94.2931308229091","5.7068691770909","3.2656596756019","2.441209501489","2.85121959150742","0.146236932106571","0.420001140487837","1.85437666920056","0.137282688761341","0.0295490030392587","0.000612658755199941","0","0","0.00640935313132246","0.0500495075401798","0.199302605826196","0.0118290267350142","18.0611027542922"
"202223","202223","Spring term","Local authority","E92000001","England","E12000007","London","E09000023","Lewisham",209,"Primary",57.9322033898305,"16115.6949152542","1667163","1685831","18668","102638","71375","31263","35061","1788469","802453","832519","1634972","32191","54999","4025","36","6","17","1878","287","10047","1862","1191","661","319","15826","0","5355","2870","21997","1041","80","64","23362","94.2611250181021","5.73887498189792","3.99084356508276","1.74803141681516","3.07520007335883","0.225052824510797","0.299418105653495","1.22993465360596","0.160472448781612","0.0582062087740967","0.00201289482792265","0.000335482471320442","0.000950533668741253","0.105006013523298","0.0160472448781612","0.561765398226081","0.0044730996176059","18.4231022706848"
"202223","202223","Spring term","Local authority","E92000001","England","E12000007","London","E09000013","Hammersmith and Fulham",205,"Primary",29.9322033898305,"6769.27118644068","691679","698567","6888","43224","31748","11476","16228","741791","331050","345169","676219","15460","26699","2149","82","0","0","165","36","2563","1456","257","312","1082","4038","0","2613","768","7405","690","54","36","9293","94.1730217810677","5.82697821893229","4.27991172715765","1.54706649177464","3.59926178667576","0.28970424283929","0.352255554462106","0.998259617601184","0.10353320544466","0.093018114266687","0.0110543266229976","0","0","0.0222434621072512","0.00485311900521845","0.345515111399303","0.00727967850782768","18.450184501845"
"202223","202223","Spring term","Local authority","E92000001","England","E12000007","London","E09000009","Ealing",307,"Primary",50,"18269.1016949153","1834723","1844752","10029","114463","84455","30008","34660","1959215","886679","914472","1801151","33572","73979","4188","181","0","29","411","189","5401","1915","462","175","1913","6026","0","11783","1088","15811","1326","77","66","30428","94.1577111240982","5.84228887590183","4.31065503275547","1.53163384314636","3.77595108244884","0.213759082081344","0.601414341968595","0.807006887962781","0.05553244539267","0.0676801678223166","0.00923839394859676","0","0.00148018466579727","0.0209777895738855","0.00964672075295463","0.275671633792106","0.00393014549194448","19.0537773466968"
"202223","202223","Spring term","Local authority","E92000001","England","E12000007","London","E09000018","Hounslow",313,"Primary",46.3728813559322,"17975.7796610169","1836652","1849117","12465","125932","84901","41031","31191","1975049","892763","915396","1808159","28493","73611","4327","162","0","104","917","772","4349","1879","237","289","1300","8997","0","13902","2698","22128","2303","659","51","23834","93.6238543955112","6.3761456044888","4.29867815937731","2.07746744511149","3.72704677200414","0.219083172113705","0.703881270793788","1.12037726658934","0.136604205769072","0.116604701959293","0.00820232814477008","0","0.00526569214232153","0.0464292278318158","0.0390876378256945","0.220197068528426","0.0333662607864412","21.2106615285806"
