"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","attendance_date","school_type","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_grt_absence","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_b_aea_education_off_site","reason_d_aea_dual_registration","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","reason_x_not_attending_covid_non_compulsory","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_grt_perc","auth_holiday_perc","auth_excluded_perc","auth_other_perc","covid_non_compulsory_perc"
2022,"Week 38","Local authority","E92000001","England","E12000005","West Midlands","E10000031","Warwickshire","937",2022-09-22,"Special",2,166,267,268,1,64,61,3,2,332,132,133,265,2,31,6,0,0,0,2,6,16,1,0,0,0,0,0,2,0,1,0,0,11,1692,"80.7228915662651","19.2771084337349","18.3734939759036","0.903614457831325","9.33734939759036","1.80722891566265","0.602409638554217","0.301204819277108","0","0","0","0","0","0.602409638554217","1.80722891566265","4.81927710843374","0"
2022,"Week 38","Local authority","E92000001","England","E12000007","London","E09000026","Redbridge","317",2022-09-22,"Special",2,234,422,426,4,35,10,25,7,461,209,209,418,4,8,0,0,0,0,0,0,2,4,0,0,0,0,0,0,3,22,0,0,5,639,"92.4078091106291","7.59219088937093","2.16919739696312","5.42299349240781","1.7353579175705","0","0","4.77223427331887","0.650759219088937","0","0","0","0","0","0","0.433839479392625","0"
2022,"Week 38","Local authority","E92000001","England","E12000002","North West","E08000009","Trafford","358",2022-09-22,"Special",7,668,1197,1218,21,116,75,41,6,1334,594,597,1191,6,47,16,0,0,0,2,0,10,5,0,0,0,16,0,2,0,39,0,0,8,907,"91.304347826087","8.69565217391304","5.62218890554723","3.07346326836582","3.5232383808096","1.19940029985008","0.149925037481259","2.92353823088456","0","0","0","0","0","0.149925037481259","0","0.749625187406297","0"
2022,"Week 38","Local authority","E92000001","England","E12000002","North West","E10000006","Cumbria","909",2022-09-22,"Special",6,560,999,1009,10,74,68,6,4,1083,514,481,995,4,51,5,0,0,0,2,0,10,8,0,0,1,0,1,4,0,0,2,0,6,678,"93.1671283471837","6.83287165281625","6.27885503231764","0.554016620498615","4.70914127423823","0.461680517082179","0.369344413665743","0","0","0.184672206832872","0","0","0","0.184672206832872","0","0.923361034164358","0"
2022,"Week 38","Local authority","E92000001","England","E12000007","London","E09000017","Hillingdon","312",2022-09-22,"Special",5,526,845,909,64,129,84,45,5,1038,419,422,841,4,58,3,0,0,0,0,0,9,64,0,0,0,0,0,4,1,22,18,14,8,1071,"87.5722543352601","12.4277456647399","8.09248554913295","4.33526011560694","5.58766859344894","0.289017341040462","0.385356454720617","2.11946050096339","0.0963391136801541","1.73410404624277","0","0","0","0","0","0.867052023121387","1.34874759152216"
2022,"Week 38","Local authority","E92000001","England","E12000009","South West","E06000058","Bournemouth, Christchurch and Poole","839",2022-09-22,"Special",3,376,653,655,2,80,62,18,5,735,325,325,650,3,35,5,0,0,0,0,2,18,2,0,0,0,0,0,2,2,14,0,2,8,1133,"89.1156462585034","10.8843537414966","8.43537414965986","2.44897959183673","4.76190476190476","0.680272108843537","0.272108843537415","1.9047619047619","0.272108843537415","0","0","0","0","0","0.272108843537415","2.44897959183673","0.272108843537415"
2022,"Week 38","Local authority","E92000001","England","E12000005","West Midlands","E06000019","Herefordshire, County of","884",2022-09-22,"Special",3,266,467,477,10,55,48,7,3,532,234,233,467,0,31,2,0,0,0,0,3,12,8,0,0,0,0,2,0,3,4,0,0,5,380,"89.6616541353383","10.3383458646617","9.02255639097744","1.31578947368421","5.82706766917293","0.37593984962406","0","0.75187969924812","0.56390977443609","0","0","0","0","0","0.56390977443609","2.25563909774436","0"
2022,"Week 38","Local authority","E92000001","England","E12000006","East of England","E06000056","Central Bedfordshire","823",2022-09-22,"Special",2,373,601,607,6,133,97,36,12,740,299,294,593,8,29,3,0,0,0,0,0,51,4,0,0,0,0,2,12,4,18,2,14,4,764,"82.027027027027","17.972972972973","13.1081081081081","4.86486486486486","3.91891891891892","0.405405405405405","1.62162162162162","2.43243243243243","0.540540540540541","0.27027027027027","0","0","0","0","0","6.89189189189189","1.89189189189189"
2022,"Week 38","Local authority","E92000001","England","E12000007","London","E09000006","Bromley","305",2022-09-22,"Special",2,356,640,641,1,69,62,7,6,710,313,321,634,6,31,9,0,0,0,2,0,20,1,0,0,0,0,0,2,0,0,5,0,4,852,"90.2816901408451","9.71830985915493","8.73239436619718","0.985915492957746","4.36619718309859","1.26760563380282","0.28169014084507","0","0","0.704225352112676","0","0","0","0.28169014084507","0","2.8169014084507","0"
2022,"Week 38","Local authority","E92000001","England","E12000008","South East","E06000045","Southampton","852",2022-09-22,"Special",2,519,952,955,3,73,57,16,13,1028,465,478,943,9,40,7,0,0,0,2,0,8,2,0,0,0,1,0,2,4,8,2,0,6,820,"92.8988326848249","7.1011673151751","5.54474708171206","1.55642023346304","3.89105058365759","0.680933852140078","0.194552529182879","0.778210116731518","0.389105058365759","0.194552529182879","0","0","0","0.194552529182879","0","0.778210116731518","0"
