time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,phase,total_num_schools
2022,August,Regional,E92000001,England,E12000009,South West,,,,Secondary,340
2022,August,Regional,E92000001,England,E12000005,West Midlands,,,,Primary,1771
2022,August,Regional,E92000001,England,E12000002,North West,,,,Secondary,462
2022,August,Regional,E92000001,England,E12000008,South East,,,,Secondary,543
2022,August,Regional,E92000001,England,E12000008,South East,,,,PRU/Academy/Free school AP,47
2022,August,Regional,E92000001,England,E12000006,East of England,,,,Secondary,389
2022,August,Regional,E92000001,England,E12000005,West Midlands,,,,Special,123
2022,August,Regional,E92000001,England,E12000001,North East,,,,PRU/Academy/Free school AP,20
2022,August,Regional,E92000001,England,E12000008,South East,,,,Nursery,44
2022,August,Regional,E92000001,England,E12000005,West Midlands,,,,Independent school,244
2022,August,Regional,E92000001,England,E12000007,London,,,,Nursery,78
2022,August,Regional,E92000001,England,E12000002,North West,,,,Nursery,64
2022,August,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Special,84
2022,August,Regional,E92000001,England,E12000002,North West,,,,Primary,2440
2022,August,Regional,E92000001,England,E12000007,London,,,,Secondary,503
2022,August,Regional,E92000001,England,E12000002,North West,,,,Independent school,288
2022,August,Regional,E92000001,England,E12000004,East Midlands,,,,Primary,1646
2022,August,Regional,E92000001,England,E12000007,London,,,,Primary,1796
2022,August,Regional,E92000001,England,E12000001,North East,,,,Special,80
2022,August,Regional,E92000001,England,E12000001,North East,,,,Independent school,74
2022,August,Regional,E92000001,England,E12000005,West Midlands,,,,PRU/Academy/Free school AP,40
2022,August,Regional,E92000001,England,E12000007,London,,,,PRU/Academy/Free school AP,56
2022,August,Regional,E92000001,England,E12000001,North East,,,,Nursery,31
2022,August,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Nursery,27
2022,August,Regional,E92000001,England,E12000005,West Midlands,,,,16_plus,8
2022,August,Regional,E92000001,England,E12000009,South West,,,,16_plus,4
2022,August,Regional,E92000001,England,E12000008,South East,,,,16_plus,8
2022,August,Regional,E92000001,England,E12000001,North East,,,,16_plus,2
2022,August,Regional,E92000001,England,E12000004,East Midlands,,,,16_plus,5
2022,August,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,Primary,86
2022,August,Local authority,E92000001,England,E12000008,South East,E10000030,936,Surrey,Special,30
2022,August,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,370,Barnsley,Independent school,3
2022,August,Local authority,E92000001,England,E12000007,London,E09000016,311,Havering,PRU/Academy/Free school AP,1
2022,August,Local authority,E92000001,England,E12000008,South East,E06000041,872,Wokingham,Secondary,10
